Airspeed [m/s],Angle of Attack [°],Angle of Sideslip [°],Pitch Control Deflection,Roll Control Deflection,Yaw Control Deflection,Other Control Deflection,Throttle,p [°/s],q [°/s],r [°/s],Full-Body or Full Body run,Comment,_zx_row_id,_zx_status,_zx_hook_stage,_zx_run_dir,_zx_started_at,_zx_completed_at,_zx_error,_zx_iteration,_zx_job_id
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Full-body,Coarse RANS,0,pending,,,,,,0,
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Full-body,Fine RANS,1,pending,,,,,,0,

